study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
cushion,,0,0,0,3,,,,,53.82374719996005,53.82374719996005,1.0260416666666667,3.0607133000157773,,,,,,,,,,,,,53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
tiger,,0,1,1,1,,,,,56.78156669996679,56.78156669996679,1.0260416666666667,0.8973341999808326,,,,,,,,,,,,,53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
vase,,0,2,2,0,,,,,57.71062989998609,57.71062989998609,1.0260416666666667,0.8811311000026762,,,,,,,,,,,,,53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
piano,,0,3,3,4,,,,,58.623262999986764,58.623262999986764,1.0260416666666667,0.5978302999865264,,,,,,,,,,,,,53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
book,,0,4,4,2,,,,,59.246000199986156,59.246000199986156,1.0260416666666667,0.8086883999640122,,,,,,,,,,,,,53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,c_s_h_o_n,,,,,0,0,0,3,,,,,60.208215499995276,60.208215499995276,60.208215499995276,0.1328200999996625,cushion,[],[],[],[],[],[],[],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,o_a_n_e,,,,,0,1,1,9,,,,,70.0972158999648,70.0972158999648,70.0972158999648,0.02139910002006218,orange,[0.01171875],[-0.2942708333333333],[1],[0],[0],[6.112590500037186],['text_3'],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,c_m_r_,,,,,0,2,2,6,,,,,76.21917479997501,76.21917479997501,76.21917479997501,0.005994200007990003,camera,[0.03515625],[-0.3072916666666667],[1],[0],[0],[3.9174624999868684],['text_3'],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,_ca_o_,,,,,0,3,3,5,,,,,80.14194569998654,80.14194569998654,80.14194569998654,0.004083600011654198,,"[-0.010416666666666666, 0.02734375]","[0.013020833333333334, -0.2877604166666667]","[1, 1]","[0, 0]","[0, 0]","[5.643634199979715, 6.732102999987546]",['text_3'],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,_ia_n_,,,,,0,4,4,4,,,,,86.88408419996267,86.88408419996267,86.88408419996267,0.007134200015570968,piano,[0.02734375],[-0.2877604166666667],[0],[0],[1],[4.106072399998084],['text_3'],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,_p_a_d_,,,,,0,5,5,7,,,,,91.0094240999897,91.0094240999897,91.0094240999897,0.014422799984458834,,[0.018229166666666668],[-0.3151041666666667],[0],[0],[1],[4.354947799991351],['text_3'],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,t_g_r,,,,,0,6,6,1,,,,,95.37455049995333,95.37455049995333,95.37455049995333,0.008622399996966124,tiger,[0.024739583333333332],[-0.2864583333333333],[1],[0],[0],[3.7003828000160865],['text_3'],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,_a_e,,,,,0,7,7,0,,,,,99.08188409998547,99.08188409998547,99.08188409998547,0.004296500002965331,vase,[0.005208333333333333],[-0.3151041666666667],[1],[0],[0],[3.276754999998957],['text_3'],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,_o_s_,,,,,0,8,8,8,,,,,102.37461919995258,102.37461919995258,102.37461919995258,0.008072099997662008,house,[0.029947916666666668],[-0.2955729166666667],[1],[0],[0],[9.428485099982936],['text_3'],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
,_oo_,,,,,0,9,9,2,,,,,111.80394269997487,111.80394269997487,111.80394269997487,0.00599159998819232,book,[0.032552083333333336],[-0.2955729166666667],[1],[0],[0],[3.9247873999993317],['text_3'],53,001,2022-10-14_12h19.29.435,Exp 5,2022.2.4,59.99408458710642,
